time,seconds_elapsed,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
1757088686944599000,0.0,0.0183169543743133,0.0012670222204178,-0.0099555375054478,-0.0506339164331555,0.0041278935849666,-0.0420469976127147,3.637148295608162,6.757396285381913,-6.105663730731606
1757088686954645000,0.010045898437499368,0.0169840436428785,0.0074618011713027,-0.0128373438492417,-0.061990884488821,0.020641806012392,-0.0743196201860904,3.636384325498342,6.757492731493711,-6.106012690299749
1757088686964692000,0.020092773437499822,0.0150191634893417,0.0143388817086815,-0.0099211819469928,-0.0595735942140221,0.025142040041089,-0.1134130286902189,3.635463703522086,6.757481041055917,-6.106572662270069
1757088686974738000,0.030138916015625128,0.0098542282357811,0.0165082942694425,-0.0092250322923064,-0.0291807940378785,0.054098085412383,-0.116019996318221,3.634399581421912,6.757704328417778,-6.106958446717262
1757088686984784000,0.040184814453124496,0.0064754518680274,0.0138131435960531,-0.0073845507577061,-0.0016539046868681,0.0900467661499977,-0.0958019686758518,3.6336575308829535,6.757819479230045,-6.107275842103362
1757088686994830800,0.05023168945312495,0.0040687532164156,0.0093784481287002,-0.0065152952447533,0.0023898177459836,0.0956657750755548,-0.0890238528430461,3.633205987723172,6.75788669924736,-6.107469903370737
1757088687004876800,0.06027758789062432,0.0036657084710896,0.0048763826489448,-0.0085867224261164,-0.0357926133930683,0.0452852488815784,-0.0764765059590339,3.633080607777834,6.757838768452405,-6.1075967446208
1757088687014922800,0.07032373046874962,0.0074420711025595,-0.0033479915000498,-0.0129902595654129,-0.0971910849466919,-0.0184054252624511,-0.0497772996038198,3.633577743645012,6.757785576960444,-6.107362351343036
1757088687024969700,0.08037060546875008,0.0124726481735706,-0.0014536632224917,-0.0137473465874791,-0.1200984978035092,-0.0837958890616893,-0.031029929035902,3.63448696744442,6.757931707432865,-6.106655079856514
1757088687035016000,0.0904167480468745,0.0175036247819662,0.0014308067038655,-0.0205455981194973,-0.0923021438613534,-0.0785936442434787,-0.08157529040277,3.635571255549788,6.758266053953767,-6.1056397653341286
1757088687045063000,0.1004638671875,0.0175994466990232,0.0073087411001324,-0.02634865231812,-0.0406923681333661,-0.0521411061257123,-0.0833966606110334,3.636782969427109,6.758449009305238,-6.104716220748424
1757088687055109000,0.11051000976562442,0.0163701325654983,0.0208397302776575,-0.0339551717042923,-0.0068760232493281,0.0287239901810884,-0.1189700782954692,3.637832478480041,6.75838938807249,-6.104159171387553
1757088687065154800,0.12055566406249962,0.0136136012151837,0.0339702144265174,-0.031954750418663,-0.0025552374407649,0.1027186161965131,-0.1508744520783424,3.638300972774625,6.75816610071063,-6.10412760720551
1757088687075202000,0.1306030273437493,0.0165606569498777,0.038025677204132,-0.024796973913908,0.0257569570690393,0.1111807395935058,-0.1402618726491928,3.637969548863172,6.758081929558515,-6.104413438409567
1757088687085248000,0.14064892578124955,0.021555146202445,0.0363010540604591,-0.0179448276758193,0.0468444610223174,0.0903629924923181,-0.0833726952135562,3.637083413678408,6.758399909466505,-6.104590548542141
1757088687095295000,0.15069580078125,0.0306794010102748,0.0367977358400821,-0.0144736636430025,0.0388224826082587,0.047386020553112,-0.0026104747593402,3.635678223055601,6.759328714749216,-6.104398825362324
1757088687105341000,0.16074169921874937,0.0444344170391559,0.0291532389819622,-0.0077815782278776,0.0286097161516547,-0.0621954671502113,0.0574801290661096,3.634368601761758,6.761171127745508,-6.10313801164627
1757088687115387000,0.17078784179687467,0.0578373074531555,0.028682392090559,-0.0012680196668952,-0.0584992429807782,-0.1300643037617206,0.1227525194436311,3.632892976251244,6.76409724432528,-6.100774205124377
1757088687125433900,0.18083471679687513,0.0732729360461235,0.0167511012405157,0.0023434995673596,-0.0948269861638546,-0.2316103690475225,0.1493237155050039,3.63136182116121,6.768080176481604,-6.097268827351927
