time,seconds_elapsed,z,y,x
1757088679449979000,0.026978759765625,-0.02623159997165203,-0.6625674962997437,-0.009677968919277191
1757088679460025900,0.03702587890625,-0.07510700076818466,-0.6685798764228821,0.06541172415018082
1757088679470071800,0.04707177734375,-0.1035938486456871,-0.6408435106277466,0.09889409691095352
1757088679480118800,0.057118896484375,-0.11672110110521317,-0.5593084692955017,0.09859608858823776
1757088679490164700,0.067164794921875,-0.12013862282037735,-0.46807509660720825,0.0631600171327591
1757088679500211700,0.077211669921875,-0.12233839929103851,-0.3849570155143738,-0.0010658400133252144
1757088679510257700,0.087257568359375,-0.12136152386665344,-0.3265227973461151,-0.0846189633011818
1757088679520303600,0.0973037109375,-0.11456646770238876,-0.28297799825668335,-0.15919865667819977
1757088679530350800,0.107350830078125,-0.10317162424325943,-0.23214219510555267,-0.21187075972557068
1757088679540397000,0.11739697265625,-0.09511103481054306,-0.1858396828174591,-0.24272774159908295
1757088679550443800,0.12744384765625,-0.09079490602016449,-0.15396280586719513,-0.25008639693260193
1757088679560490000,0.137489990234375,-0.08976452797651291,-0.13125722110271454,-0.22725673019886017
1757088679570536000,0.147535888671875,-0.09924572706222534,-0.10822905600070953,-0.16917820274829865
1757088679580583000,0.1575830078125,-0.10666396468877792,-0.10175464302301407,-0.07804243266582489
1757088679590628900,0.16762890625,-0.10679938644170761,-0.0912894755601883,0.04299163073301315
1757088679600675800,0.17767578125,-0.09553820639848709,-0.06385864317417145,0.1804397702217102
1757088679610721800,0.1877216796875,-0.08637773245573044,-0.009646757505834103,0.2906752824783325
1757088679620767700,0.197767822265625,-0.07679355144500732,0.04604100435972214,0.3468807637691498
1757088679630814700,0.207814697265625,-0.07525815069675446,0.12019677460193634,0.3467549979686737
1757088679640860700,0.217860595703125,-0.07685898244380951,0.22962500154972076,0.30239632725715637
1757088679650907600,0.22790771484375,-0.07558069378137589,0.3369559943675995,0.23204846680164337
1757088679660953900,0.237953857421875,-0.06277035176753998,0.42643260955810547,0.15715505182743073
1757088679670999800,0.247999755859375,-0.04696225747466087,0.5304092764854431,0.08663016557693481
1757088679681046800,0.258046875,-0.03466537967324257,0.6475209593772888,0.0369638130068779
1757088679691092700,0.2680927734375,-0.02963394485414028,0.7741881608963013,0.056066881865262985
1757088679701140000,0.278139892578125,-0.03028508834540844,0.9073472619056702,0.16058316826820374
1757088679711186000,0.28818603515625,-0.032218385487794876,1.0085577964782715,0.33647987246513367
1757088679721233000,0.29823291015625,0.016826389357447624,1.0535743236541748,0.560346245765686
1757088679731278800,0.30827880859375,0.24526043236255646,1.0871890783309937,0.8211944699287415
1757088679741324800,0.31832470703125,0.39394792914390564,1.2525386810302734,1.113611102104187
1757088679751371800,0.328371826171875,0.454816997051239,1.353460431098938,1.3947412967681885
1757088679761418000,0.33841796875,0.39212724566459656,1.2262428998947144,1.6566730737686157
1757088679771464700,0.348464599609375,0.12481902539730072,0.6569643020629883,1.6315069198608398
