time,seconds_elapsed,z,y,x
1757089330333259300,0.01825927734375,0.5491965413093567,-0.12377520650625229,-0.26496216654777527
1757089330343213300,0.02821337890625,0.5279096364974976,-0.1610139161348343,-0.2371121495962143
1757089330353168400,0.03816845703125,0.5057063102722168,-0.14740090072155,-0.2292851209640503
1757089330363123500,0.04812353515625,0.4870881736278534,-0.11823316663503647,-0.244288831949234
1757089330373077500,0.058077392578125,0.468219131231308,-0.12000416964292526,-0.28327086567878723
1757089330383032300,0.0680322265625,0.44534844160079956,-0.10214847326278687,-0.3399019241333008
1757089330392986400,0.077986328125,0.41658443212509155,-0.09789513796567917,-0.43916192650794983
1757089330402941400,0.08794140625,0.38305044174194336,-0.1908985823392868,-0.5922385454177856
1757089330412896500,0.097896484375,0.36408287286758423,-0.41571199893951416,-0.7780081629753113
1757089330422850300,0.107850341796875,0.3411796987056732,0.4611239433288574,-0.8752553462982178
1757089330432805400,0.117805419921875,0.09457337856292725,2.3383357524871826,-0.5950465798377991
1757089330442759200,0.12775927734375,-0.12322632968425751,1.2367064952850342,-0.6920373439788818
1757089330452714500,0.137714599609375,-0.6024032831192017,0.7949938178062439,-0.7415888905525208
1757089330462669300,0.14766943359375,-0.7879140377044678,0.3186834454536438,-0.5983095169067383
1757089330472623400,0.157623291015625,-0.7517650723457336,-0.18378208577632904,-0.42602187395095825
1757089330482578200,0.167578125,-0.6896119713783264,-0.32944661378860474,-0.2727132737636566
1757089330492533500,0.177533447265625,-0.7082511782646179,-0.5108209252357483,-0.10091915726661682
1757089330502487300,0.1874873046875,-0.7313767075538635,-0.8226267695426941,0.1016821563243866
1757089330512442400,0.1974423828125,-0.6304535865783691,-0.8402571678161621,0.29735177755355835
1757089330522396400,0.207396484375,-0.36641180515289307,-0.7333126068115234,0.4902155101299286
1757089330532351500,0.2173515625,0.030913174152374268,-0.2594480812549591,0.8868259787559509
1757089330542306300,0.227306396484375,0.43711021542549133,-0.11071612685918808,1.2775421142578125
1757089330552260400,0.23726025390625,0.8044003248214722,0.2780372202396393,1.5422881841659546
1757089330562215200,0.247215087890625,1.0759820938110352,1.192346453666687,1.5258722305297852
1757089330572169000,0.2571689453125,1.4048848152160645,2.4863991737365723,1.277665376663208
1757089330582124000,0.2671240234375,1.7586323022842407,3.3071627616882324,1.0291359424591064
1757089330592078800,0.277078857421875,1.9957348108291626,3.5147411823272705,0.7446494102478027
1757089330602033000,0.287032958984375,2.064331293106079,3.6346113681793213,0.34756994247436523
1757089330611988000,0.296988037109375,2.0728676319122314,3.7151639461517334,-0.18484069406986237
1757089330621943000,0.306943115234375,2.286195993423462,2.990243673324585,-0.9210923314094543
1757089330631897000,0.31689697265625,2.5932111740112305,1.5782158374786377,-1.363973617553711
1757089330641852000,0.326851806640625,2.5314979553222656,-0.17177894711494446,-1.6838711500167847
1757089330651806000,0.336805908203125,2.0385687351226807,0.7145814895629883,-1.9399839639663696
1757089330661761000,0.346760986328125,1.1555370092391968,1.7859506607055664,-1.6450018882751465
1757089330671716000,0.356716064453125,0.2391132414340973,2.0054116249084473,-1.1666836738586426
1757089330681670000,0.366669921875,-0.5293602347373962,2.1644132137298584,-0.6207921504974365
1757089330691625000,0.376625,-1.0345475673675537,2.647766351699829,-0.028601817786693573
1757089330701580000,0.386580078125,-1.2549501657485962,3.363175392150879,0.5850123167037964
1757089330711534000,0.3965341796875,-1.3105641603469849,3.7787506580352783,1.1123661994934082
1757089330721489000,0.406489013671875,-1.3203952312469482,3.996837615966797,1.4670430421829224
1757089330731443000,0.41644287109375,-1.214005947113037,4.758864402770996,1.8777791261672974
1757089330741397800,0.426397705078125,-1.5122536420822144,4.6453938484191895,1.8213752508163452
1757089330751353000,0.43635302734375,-1.8460084199905396,5.221756458282471,1.998104214668274
1757089330761307000,0.446306884765625,-2.4260284900665283,5.335490703582764,2.287792444229126
1757089330771262000,0.456261962890625,-3.074028968811035,5.515789985656738,2.584165334701538
1757089330781216000,0.466216064453125,-3.6671030521392822,5.453283786773682,2.8894693851470947
1757089330791171000,0.476171142578125,-4.134016990661621,5.391707897186279,3.160191535949707
1757089330801126000,0.4861259765625,-4.400513648986816,5.539823532104492,3.372582197189331
1757089330811080000,0.496079833984375,-4.4356513023376465,5.882768154144287,3.4779727458953857
1757089330821035000,0.506034912109375,-4.386917591094971,6.202826976776123,3.4532628059387207
1757089330830990000,0.515989990234375,-4.40974235534668,6.195838451385498,3.3595175743103027
1757089330840944000,0.525944091796875,-4.54440975189209,5.745792865753174,3.218662738800049
1757089330850899000,0.53589892578125,-4.786893367767334,5.088384628295898,2.9847891330718994
1757089330860853000,0.54585302734375,-5.234811782836914,4.406777381896973,2.569580316543579
1757089330870807800,0.555807861328125,-5.649511337280273,3.302373170852661,2.085515022277832
1757089330880763100,0.56576318359375,-5.975638389587402,1.8106895685195923,1.5408203601837158
1757089330890717000,0.575717041015625,-6.079363822937012,0.16688032448291779,0.87754887342453
1757089330900672000,0.585672119140625,-5.7278618812561035,-1.6466649770736694,0.08378517627716064
1757089330910626800,0.595626708984375,-4.805157661437988,-3.472104549407959,-0.6890884041786194
1757089330920580900,0.605580810546875,-3.621448278427124,-4.6595869064331055,-1.1971020698547363
1757089330930536000,0.615535888671875,-2.7989816665649414,-4.619088649749756,-1.293434739112854
1757089330940490000,0.625489990234375,-2.4536197185516357,-3.3345742225646973,-0.909156322479248
1757089330950445000,0.635445068359375,-2.383683681488037,-1.3349339962005615,-0.08105676621198654
1757089330960400000,0.64539990234375,-2.4189651012420654,0.6809955835342407,0.9864673614501953
1757089330970354200,0.655354248046875,-2.4424710273742676,2.145000457763672,1.9440149068832397
1757089330980309000,0.66530908203125,-2.366044521331787,2.9053142070770264,2.593761444091797
1757089330990264000,0.67526416015625,-2.1773481369018555,3.089930295944214,2.8896164894104004
1757089331000217900,0.6852177734375,-1.90805184841156,2.806011199951172,2.8060669898986816
1757089331010173200,0.695173095703125,-1.5959842205047607,2.1453654766082764,2.398822069168091
1757089331020127000,0.705126953125,-1.289481282234192,1.2648273706436157,1.7702322006225586
1757089331030082000,0.71508203125,-1.063300371170044,0.31174004077911377,1.0860682725906372
1757089331040036900,0.725036865234375,-0.978354275226593,-0.4687965214252472,0.5008530020713806
1757089331049991000,0.734990966796875,-1.0687518119812012,-0.9013606905937195,0.07335144281387329
1757089331059946000,0.744946044921875,-1.1998318433761597,-1.0316952466964722,-0.18784047663211823
1757089331069901000,0.754901123046875,-1.2661876678466797,-0.843643069267273,-0.267676442861557
1757089331079854800,0.764854736328125,-1.3177320957183838,-0.41086477041244507,-0.18443721532821655
1757089331089810000,0.774809814453125,-1.3138569593429565,0.02702069841325283,-0.04727776721119881
1757089331099764000,0.784763916015625,-1.2848700284957886,0.2688809931278229,0.047688957303762436
1757089331109719000,0.794718994140625,-1.2672390937805176,0.22871306538581848,0.04634859040379524
1757089331119673900,0.804673828125,-1.2797714471817017,-0.023838752880692482,-0.05554688349366188
1757089331129628000,0.8146279296875,-1.3045539855957031,-0.31069982051849365,-0.20656223595142365
1757089331139583000,0.8245830078125,-1.3119146823883057,-0.554771363735199,-0.3359961211681366
1757089331149537000,0.834537109375,-1.2504912614822388,-0.6802573800086975,-0.40901678800582886
1757089331159492000,0.8444921875,-1.1449533700942993,-0.699064314365387,-0.43173807859420776
1757089331169447000,0.854447021484375,-1.0610272884368896,-0.7060506343841553,-0.39091530442237854
1757089331179401000,0.86440087890625,-1.0349321365356445,-0.7585923671722412,-0.31018850207328796
1757089331189356000,0.87435595703125,-1.0211483240127563,-0.845426619052887,-0.20413555204868317
1757089331199310000,0.88431005859375,-1.0128060579299927,-0.9429571628570557,-0.0866137221455574
1757089331209265000,0.894264892578125,-0.9676496982574463,-1.0169451236724854,0.023211846128106117
1757089331219220000,0.904219970703125,-0.8887421488761902,-1.0607634782791138,0.10996697843074799
1757089331229174000,0.914174072265625,-0.7758075594902039,-1.123156189918518,0.16783906519412994
1757089331239129000,0.924129150390625,-0.6468623876571655,-1.1408132314682007,0.18772383034229279
1757089331249084000,0.934083984375,-0.5258685946464539,-1.1055418252944946,0.1820632815361023
1757089331259038000,0.944037841796875,-0.37224334478378296,-1.0221790075302124,0.15568652749061584
1757089331268993000,0.953992919921875,-0.1756674349308014,-0.9241510033607483,0.08138753473758698
1757089331278946800,0.96394677734375,0.06818864494562149,-0.830411970615387,-0.05503875017166138
1757089331288902100,0.973902099609375,0.31468549370765686,-0.770045280456543,-0.23607377707958221
1757089331298857000,0.98385693359375,0.5017187595367432,-0.7310033440589905,-0.43156126141548157
1757089331308811000,0.99381103515625,0.6268056035041809,-0.6767939329147339,-0.6019876003265381
1757089331318765800,1.003765869140625,0.6949843764305115,-0.6087341904640198,-0.697119414806366
1757089331328721200,1.01372119140625,0.7290818691253662,-0.5073478817939758,-0.7249888777732849
