time,seconds_elapsed,z,y,x
1757088826491042800,0.963042724609375,-0.003289650664660439,-0.7303767600372433,-9.779413618028164
1757088826501088800,0.9730888671875,0.2666487665398046,-0.6082214758343994,-9.784138892984389
1757088826511136000,0.983135986328125,0.5047733032543212,-0.4736461974542588,-9.782190097004175
1757088826521182000,0.993181884765625,0.7295880938775837,-0.3295007979026064,-9.773920865830778
1757088826531228200,1.003228271484375,0.953858694621548,-0.17772683970127254,-9.758533327084779
1757088826541275100,1.013275146484375,1.1871375814031808,-0.018113436028955036,-9.734515322637558
1757088826551321000,1.023321044921875,1.4467634270362555,0.15325298124533146,-9.698132926657795
1757088826561367000,1.033366943359375,1.767901506795734,0.364709181666933,-9.639080433708429
1757088826571414500,1.04341455078125,2.1519388180606067,0.6236917244277894,-9.54728010188937
1757088826581460500,1.05346044921875,2.5317744398519397,0.8641238439649342,-9.434711707329749
1757088826591506400,1.06350634765625,2.8830726800754665,1.0462643719226121,-9.31469942650497
1757088826601553400,1.073553466796875,3.2164927337810396,1.1819163396235555,-9.188450881639122
1757088826611599400,1.083599365234375,3.544100886337459,1.3012052015446125,-9.050776687395572
1757088826621646300,1.093646240234375,3.8574204013004896,1.415546889387071,-8.90432180532515
1757088826631692300,1.1036923828125,4.1352334263354535,1.5252369520314037,-8.76035932459235
1757088826641738500,1.113738525390625,4.368692930381,1.6332456374600528,-8.626554665258526
1757088826651785500,1.123785400390625,4.51097432615906,1.7570393365196884,-8.528440912508964
1757088826661831400,1.13383154296875,4.4646366456151005,1.8418024631783365,-8.53494021140039
1757088826671877400,1.14387744140625,4.391292007941007,1.8476314615927636,-8.571652862247824
1757088826681924400,1.15392431640625,4.442131383818388,1.8322636504605412,-8.548720314949751
1757088826691970300,1.16397021484375,4.510293942679464,1.810424743618071,-8.517629011115432
1757088826702017300,1.174017333984375,4.577086674492061,1.7952615151472389,-8.485147714227438
1757088826712063200,1.184063232421875,4.616054410789907,1.7887905655674636,-8.465381522005796
1757088826722109400,1.194109375,4.6317929549306625,1.7894379235602915,-8.45664350427687
1757088826732156200,1.20415625,4.632603979052603,1.7871414831861852,-8.45668325176537
1757088826742202400,1.214202392578125,4.639157346218824,1.778174917398393,-8.454981124022602
1757088826752248300,1.224248291015625,4.655011041171848,1.7644947670921682,-8.449132397994399
1757088826762295600,1.234295654296875,4.6769861416146155,1.7496669080555438,-8.440075231313704
1757088826772341500,1.244341552734375,4.704035476581752,1.7355590338565408,-8.427945817580818
1757088826782387500,1.254387451171875,4.7243122486740345,1.721761102389544,-8.419428164604305
1757088826792434400,1.264434326171875,4.734510109822452,1.7039621185876428,-8.417322716757655
1757088826802480400,1.27448046875,4.731851704268157,1.680723866341263,-8.42348708460629
1757088826812527400,1.28452734375,4.720377831834554,1.654472111492604,-8.435113809514045
1757088826822573300,1.2945732421875,4.705917344805598,1.628614470528066,-8.44821645219326
1757088826832619500,1.30461962890625,4.684808798064291,1.6036353659637272,-8.464709906354546
1757088826842666500,1.31466650390625,4.658939612792432,1.5803139654785394,-8.48335264750421
1757088826852712400,1.32471240234375,4.635645246444643,1.558177975385636,-8.50019330766797
1757088826862758400,1.33475830078125,4.619507766114175,1.53624276856184,-8.512962188348174
1757088826872805400,1.344805419921875,4.6107463675096625,1.5155192756153641,-8.521420220091938
1757088826882851300,1.354851318359375,4.609538745285571,1.4980718817301093,-8.525159406620263
1757088826892897300,1.364897216796875,4.616810197593272,1.4844938766241074,-8.52359931769669
1757088826902944300,1.3749443359375,4.631399279437959,1.4742767262533307,-8.517454239070416
1757088826912990200,1.384990234375,4.650115378084778,1.4656089972816406,-8.508748370045423
1757088826923037200,1.395037109375,4.669599538494646,1.4581003752171993,-8.499361533018947
1757088826933083400,1.40508349609375,4.685327561241388,1.452337866167724,-8.49168968321681
1757088826943129300,1.41512939453125,4.694225445707142,1.448655816654116,-8.487402215155958
1757088826953176600,1.425176513671875,4.696173072643578,1.44610233277902,-8.486760410121082
1757088826963222500,1.435222412109375,4.691686574879288,1.443622937053442,-8.489667237478494
1757088826973268200,1.445268310546875,4.684510984161496,1.4405783086605368,-8.494145259675383
1757088826983315500,1.4553154296875,4.679256716895103,1.436685246744752,-8.497699737286567
1757088826993361400,1.465361328125,4.679826625737547,1.432002788016945,-8.498175538104771
1757088827003408400,1.475408447265625,4.686330308543146,1.4271565170295535,-8.495406073391438
1757088827013454300,1.485454345703125,4.694379467225074,1.4230975970275699,-8.491643505987524
1757088827023500500,1.49550048828125,4.699926872219145,1.420156575139612,-8.489064010888338
1757088827033547500,1.505547607421875,4.701259582127631,1.4173887178614735,-8.488791039165854
1757088827043593500,1.515593505859375,4.698404192696511,1.4148619758628307,-8.49079244211614
1757088827053639400,1.525639404296875,4.692223165974021,1.4124739116825162,-8.494607616490125
1757088827063686400,1.535686279296875,4.684013848294318,1.4081540026567876,-8.499852531406283
1757088827073732400,1.545732421875,4.675839601927995,1.402313752195984,-8.505316642031072
1757088827083778300,1.5557783203125,4.669821949073672,1.395995070568472,-8.509661977759004
1757088827093825300,1.5658251953125,4.666766068634391,1.3906477181911467,-8.512210493198037
1757088827103871200,1.575871337890625,4.666302835036814,1.3879356827534735,-8.512910165899992
1757088827113918200,1.585918212890625,4.66702734991908,1.3879412357114254,-8.512510352927446
1757088827123964400,1.59596435546875,4.666882096229493,1.389257725137472,-8.512377666458487
1757088827134010400,1.60601025390625,4.6656455401718615,1.3904533646628259,-8.512859897017478
1757088827144057300,1.616057373046875,4.663654074093699,1.390544550077617,-8.51393658633828
1757088827154103300,1.626103271484375,4.661520569196343,1.3894588006675244,-8.51528157120645
1757088827164149200,1.636149169921875,4.660426636479794,1.387761202969402,-8.516155431431532
1757088827174196500,1.646196533203125,4.661669914539158,1.386077195405215,-8.515751526805758
1757088827184242400,1.656242431640625,4.665650508607924,1.3848945614919066,-8.513763567858934
1757088827194289400,1.666289306640625,4.671249643789231,1.3842624010682105,-8.510794196659326
1757088827204335400,1.67633544921875,4.6764136024236675,1.3841102792464195,-8.507983815413713
1757088827214381600,1.686381591796875,4.6798353935658925,1.384279206072539,-8.506074182400107
