time,seconds_elapsed,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
1757088575915897900,0.09689794921875,1.8654625415802,-5.309424877166748,1.3386999368667605,-0.694150984287262,0.7336969971656799,12.105461120605469,5.046742916107178,-5.334253787994385,-6.499731063842773
1757088575925450800,0.10645068359375,2.1000375747680664,-5.856812477111816,1.4889874458312988,-1.2705990076065063,0.0754230022430419,11.839343070983888,5.068381786346436,-5.324085235595703,-6.490256786346436
1757088575935004000,0.11600390625,2.354137420654297,-6.256249904632568,1.6588000059127808,-1.7731809616088867,-0.0473689995706081,11.314208984375,5.122453212738037,-5.316038131713867,-6.44746208190918
1757088575944557000,0.12555712890625,2.6229500770568848,-6.395537376403809,1.8603750467300413,-1.988265037536621,-0.150077998638153,11.08590030670166,5.206552982330322,-5.3074049949646,-6.368710994720459
1757088575954110200,0.135110107421875,2.9320499897003174,-6.317437648773193,2.0974249839782715,-2.060821056365967,-0.2178130000829696,10.983922958374023,5.317624092102051,-5.295265197753906,-6.252417087554932
1757088575963663400,0.144663330078125,3.1238625049591064,-6.005862236022949,2.3282876014709477,-2.802207946777344,-1.037598967552185,11.652924537658691,5.445772171020508,-5.268832206726074,-6.122167110443115
1757088575973216300,0.15421630859375,3.2349624633789062,-5.707762241363525,2.496999979019165,-3.6830339431762695,-1.7794699668884275,12.151384353637695,5.589710235595703,-5.227333068847656,-5.977932929992676
1757088575982769400,0.163769287109375,3.325437545776367,-5.530662536621094,2.6569125652313232,-4.27603006362915,-2.180821895599365,11.841422080993652,5.7483320236206055,-5.1700758934021,-5.819277763366699
1757088575992322800,0.17332275390625,3.4647250175476074,-5.457237243652344,2.865912437438965,-5.006612777709961,-2.8666861057281494,11.273090362548828,5.92073917388916,-5.096124172210693,-5.6454949378967285
1757088576001875700,0.182875732421875,3.623537540435791,-5.454899787902832,3.043012380599976,-5.90925407409668,-3.2523770332336426,10.984662055969238,6.105954170227051,-5.004683017730713,-5.455615043640137
1757088576011428900,0.192428955078125,3.69682502746582,-5.565999984741211,3.2348248958587646,-6.512557029724121,-3.287627935409546,11.367863655090332,6.303019046783447,-4.895078182220459,-5.248022079467773
1757088576020981800,0.201981689453125,3.6796374320983887,-5.668712615966797,3.398587465286255,-7.362054824829102,-3.3042359352111816,11.594646453857422,6.510714054107666,-4.766925811767578,-5.021001815795898
1757088576030535200,0.21153515625,3.639349937438965,-5.6662373542785645,3.5329248905181885,-8.068492889404297,-3.626106023788452,11.705865859985352,6.727513790130615,-4.620046138763428,-4.773324966430664
1757088576040088000,0.221088134765625,3.546537399291992,-5.39618730545044,3.6246373653411865,-9.090408325195312,-3.816946029663086,11.688366889953612,6.95159387588501,-4.454524993896484,-4.505021095275879
1757088576049641200,0.23064111328125,3.474487543106079,-5.1628499031066895,3.64045000076294,-9.765276908874512,-4.042153835296631,11.293603897094728,7.181163787841797,-4.270801067352295,-4.216139793395996
1757088576059194400,0.2401943359375,3.3767249584198,-4.699887275695801,3.647737503051758,-10.597282409667969,-4.415553092956543,11.148821830749512,7.4145050048828125,-4.06936502456665,-3.907928943634033
1757088576068747300,0.249747314453125,3.281437397003174,-4.299075126647949,3.5976874828338623,-10.750362396240234,-4.429358005523682,10.916253089904783,7.650113105773926,-3.850956916809082,-3.5815060138702397
1757088576078300400,0.259300537109375,3.1409125328063965,-3.805587530136109,3.6124000549316406,-11.132458686828612,-4.537990093231201,10.91791534423828,7.886750221252441,-3.6159839630126953,-3.238524913787842
1757088576087853800,0.268853759765625,3.0151000022888184,-3.3767249584198,3.5818750858306885,-11.589537620544434,-4.680729866027832,10.731049537658691,8.123374938964844,-3.365015983581543,-2.880455017089844
1757088576097407000,0.278406982421875,2.8708624839782715,-2.98333740234375,3.535399913787842,-12.29767608642578,-4.960084915161133,10.052360534667969,8.359132766723633,-3.0986430644989014,-2.5086829662323
1757088576106960000,0.2879599609375,2.7878124713897705,-2.734050035476685,3.451112508773804,-12.91171646118164,-4.704732894897461,9.061442375183104,8.593270301818848,-2.8176229000091557,-2.12399697303772
1757088576116513000,0.297512939453125,2.7157623767852783,-2.539900064468384,3.3643500804901123,-13.716065406799316,-4.661696910858154,8.55152416229248,8.803486824035645,-2.53288197517395,-1.7364579439163208
1757088576126066000,0.30706591796875,2.6204750537872314,-2.420137405395508,3.212825059890747,-14.537426948547363,-4.918965816497803,8.308568954467773,8.97840404510498,-2.2331559658050537,-1.3702110052108765
1757088576135619300,0.316619384765625,2.511712551116944,-2.431137561798096,3.002724885940552,-14.676956176757812,-4.928173065185547,8.343436241149902,9.119854927062988,-1.9224220514297483,-1.027657985687256
1757088576145172200,0.326172119140625,2.318662405014038,-2.1795125007629395,2.83291244506836,-14.79228973388672,-5.03773307800293,9.170618057250977,9.230643272399902,-1.6045700311660769,-0.71145099401474
1757088576154725400,0.335725341796875,2.0572750568389893,-1.7115999460220337,2.57509994506836,-15.220211029052734,-4.677845001220703,9.71726417541504,9.320849418640137,-1.2915899753570557,-0.4001399874687195
1757088576164278500,0.345278564453125,1.7701749801635742,-1.2399749755859375,2.259949922561645,-15.256807327270508,-4.423226833343506,9.702268600463867,9.392187118530272,-0.9855769872665404,-0.0959580019116401
1757088576173831400,0.35483154296875,1.498887538909912,-0.7195374965667725,1.9496124982833865,-14.853801727294922,-4.436472892761231,9.254883766174316,9.44640827178955,-0.6884340047836304,0.1982149928808212
1757088576183384800,0.364384765625,1.2533124685287476,-0.2943874895572662,1.727275013923645,-13.880430221557615,-4.209217071533203,8.673116683959961,9.4849853515625,-0.401870995759964,0.4796519875526428
1757088576192938000,0.37393798828125,1.0517375469207764,-0.0035749999806284,1.627037525177002,-13.297186851501465,-4.3099870681762695,7.985352039337158,9.50924587249756,-0.126920998096466,0.7459800243377686
1757088576202491100,0.3834912109375,0.896637499332428,0.075762502849102,1.5879875421524048,-12.998542785644531,-4.437199115753174,6.549458980560303,9.513189315795898,0.1298809945583343,1.0213780403137207
1757088576212044000,0.3930439453125,0.7928249835968018,-0.0353375002741813,1.586750030517578,-12.662991523742676,-4.536725997924805,5.378606796264648,9.49654769897461,0.3670069873332977,1.3040469884872437
1757088576221597200,0.40259716796875,0.686537504196167,-0.1941500008106231,1.5855125188827517,-12.74037742614746,-4.323888778686523,4.746519088745117,9.458869934082031,0.584460973739624,1.5928750038146973
1757088576231150300,0.412150390625,0.5288249850273132,-0.3089624941349029,1.4939374923706057,-13.71921730041504,-4.157121181488037,5.2137861251831055,9.411855697631836,0.7883440256118774,1.8628530502319336
1757088576240703500,0.421703369140625,0.3139125108718872,-0.2858625054359436,1.2531750202178955,-15.04475212097168,-4.538987159729004,5.67013692855835,9.357508659362791,0.9785109758377076,2.113739013671875
1757088576250256400,0.43125634765625,0.1000999957323074,-0.1563374996185302,0.9002124667167664,-15.177618026733398,-5.027300834655762,5.267428874969482,9.298133850097656,1.1544309854507446,2.346035957336426
1757088576269362700,0.45036279296875,-0.0306624993681907,0.9029625058174132,-0.5377625226974487,-25.52262115478516,-7.809287071228027,2.134298086166382,9.175647735595703,1.4578800201416016,2.7528860569000244
1757088576278915800,0.459915771484375,0.0818125009536743,1.389162540435791,-1.7546374797821045,-23.049522399902344,-7.137294769287109,1.3873929977416992,9.119668960571287,1.5768769979476929,2.9254519939422607
1757088576288469000,0.469468994140625,0.1036750003695488,1.2328250408172607,-2.0160250663757324,-12.56688117980957,-6.265014171600342,2.4869608879089355,9.060342788696287,1.6587640047073364,3.102123022079468
1757088576298022100,0.479022216796875,-0.0648999959230423,0.5413374900817871,-1.4040124416351318,-5.852686882019043,-6.865821838378906,3.990447998046875,8.998894691467285,1.7031300067901611,3.279772996902466
1757088576307575300,0.4885751953125,-0.3140499889850616,-0.3504875004291534,-0.5902875065803528,-4.95738410949707,-8.23763656616211,3.8481459617614746,8.93925952911377,1.7319250106811523,3.4463460445404053
1757088576317128400,0.49812841796875,-0.3910500109195709,-0.8294000029563904,-0.1248499974608421,-8.901026725769043,-8.514458656311035,0.7718549966812134,8.874601364135742,1.7253049612045288,3.6184699535369873
1757088576326681300,0.507681396484375,-0.1649999916553497,-0.8233500123023987,-0.1968999952077865,-12.28763198852539,-8.175433158874512,-2.1267189979553223,8.804338455200195,1.683794021606445,3.7944469451904297
1757088576336234500,0.517234375,0.1671999990940094,-0.6132500171661377,-0.344712495803833,-11.631353378295898,-7.218092918395996,-2.8786349296569824,8.736197471618652,1.6298810243606567,3.961627960205078
1757088576345787600,0.52678759765625,0.3957250118255615,-0.5277249813079834,-0.2714250087738037,-7.706085205078125,-6.759613990783691,-1.5817300081253052,8.67018985748291,1.5644539594650269,4.121823787689209
1757088576355340800,0.5363408203125,0.4604874849319458,-0.6657750010490417,0.1683000028133392,-4.879042148590088,-7.258277893066406,-0.1751590073108673,8.600709915161133,1.468572974205017,4.284206867218018
1757088576364894000,0.54589404296875,0.4079625010490417,-0.9431124925613404,0.3173500001430511,-8.161334991455078,-6.190564155578613,0.0301089994609355,8.52071762084961,1.3451019525527954,4.4576520919799805
1757088576374447000,0.555447021484375,0.420199990272522,-0.9235875010490416,0.1439625024795532,-10.92692756652832,-5.09702205657959,-0.8704400062561035,8.425596237182617,1.1957939863204956,4.646437168121338
1757088576384000000,0.565,0.4507249891757965,-0.6743000149726868,-0.0980374962091445,-9.885395050048828,-5.358965873718262,-0.67153000831604,8.315223693847656,1.0195889472961426,4.8484721183776855
1757088576393553200,0.57455322265625,0.5497249960899353,-0.2881999909877777,-0.2201374918222427,-7.811851024627685,-5.098481178283691,-1.1208419799804688,8.212236404418945,0.8408780097961426,5.024282932281494
1757088576403106300,0.584106201171875,0.6265875101089478,0.1405249983072281,-0.2689499855041504,-6.995031833648682,-5.540016174316406,-0.6868199706077576,8.107571601867676,0.6410790085792542,5.179347991943359
1757088576412659500,0.593659423828125,0.6193000078201294,0.4911499917507171,-0.3741374909877777,-7.701837062835693,-6.292142868041992,0.2382919937372207,8.016061782836914,0.4390079975128174,5.30539608001709
1757088576422212400,0.60321240234375,0.6743000149726868,0.6719624996185303,-0.5389999747276306,-8.648555755615234,-5.8856730461120605,-0.7657139897346497,7.913848876953125,0.2083130031824112,5.43413782119751
1757088576431765800,0.612765869140625,0.9394000172615052,0.2920500040054321,-0.7710999846458435,-7.680575847625732,-4.057939052581787,-1.3119319677352903,7.798715114593506,-0.0500200018286705,5.565720081329346
1757088576441319000,0.62231884765625,1.0762125253677368,0.3482874929904938,-0.724762499332428,-6.049258232116699,-3.279747009277344,-0.5859140157699585,7.671751022338867,-0.3315739929676056,5.698927879333496
1757088576450871800,0.631871826171875,1.1800249814987185,0.1612875014543533,-0.6843374967575073,-5.610042095184326,-2.7854340076446533,-0.9522259831428528,7.531739234924316,-0.6343410015106201,5.83397388458252
1757088576460425000,0.641425048828125,1.4830750226974487,-0.2063875049352646,-0.6758124828338623,-5.779611110687256,-1.3472559452056885,-2.924657106399536,7.38737678527832,-0.941760003566742,5.970559120178223
1757088576469978000,0.65097802734375,2.018087387084961,-0.8600624799728394,-0.8505749702453613,-6.101688861846924,-0.8898869752883911,-3.738537073135376,7.233970165252685,-1.2507779598236084,6.111211776733398
1757088576479531300,0.66053125,2.637525081634521,-1.501362442970276,-1.108387470245361,-7.578672885894775,-1.423450946807861,-4.963294982910156,7.077578067779541,-1.5497210025787354,6.232683181762695
1757088576489084400,0.67008447265625,3.24114990234375,-1.6198874711990356,-1.3172500133514404,-9.058355331420898,-2.737790107727051,-5.805230140686035,6.916787147521973,-1.8398029804229736,6.337465763092041
1757088576498637600,0.679637451171875,3.7701125144958496,-1.7554625272750854,-1.2256749868392944,-9.20753288269043,-3.614703893661499,-6.040481090545654,6.731363773345947,-2.1648058891296387,6.432650089263916
1757088576508190500,0.6891904296875,4.0572123527526855,-1.544124960899353,-0.6440500020980835,-8.259806632995605,-4.886013984680176,-5.48018217086792,6.547266006469727,-2.4815049171447754,6.503069877624512
1757088576517743600,0.69874365234375,3.910637378692627,-0.3909125030040741,0.3638249933719635,-5.954987049102783,-3.3619940280914307,-2.732192039489746,6.358250141143799,-2.8005900382995605,6.543519020080566
1757088576527297000,0.708297119140625,3.249675035476685,1.616449952125549,0.8170250058174133,-5.549938201904297,-0.5991910099983215,-1.1722580194473269,6.177962779998779,-3.125669002532959,6.568457126617432
1757088576536850000,0.717849853515625,2.6754748821258545,2.129462480545044,0.9147874712944032,-5.732082843780518,0.3436810076236725,-1.931015968322754,6.00779390335083,-3.454137086868286,6.578498840332031
1757088576546403000,0.727403076171875,2.2428998947143555,1.425874948501587,0.892787516117096,-6.017199993133545,1.522825002670288,-3.489919900894165,5.850771903991699,-3.764260053634644,6.569334030151367
1757088576555956200,0.736956298828125,1.9448000192642207,0.1174250021576881,0.6887375116348267,-5.618626117706299,1.7816989421844482,-3.511444091796875,5.709150791168213,-4.05716609954834,6.538348197937012
1757088576565509400,0.74650927734375,1.6761250495910645,-1.1251624822616575,0.3075875043869018,-5.620936870574951,1.6189299821853638,-3.2638258934021,5.582600116729736,-4.333943843841553,6.486946105957031
1757088576575062300,0.756062255859375,1.5783624649047852,-1.7653625011444092,0.113437496125698,-5.121476173400879,1.5721830129623413,-3.942991971969605,5.468667984008789,-4.593469142913818,6.4203081130981445
1757088576584615400,0.765615478515625,1.6528874635696411,-1.722599983215332,0.3821125030517578,-3.751344919204712,1.090633988380432,-4.529321193695068,5.352674961090088,-4.853841781616211,6.351663112640381
1757088576594168600,0.77516845703125,1.8532249927520752,-1.1141624450683594,0.9257875084877014,-3.0971100330352783,0.8383499979972839,-5.121818065643311,5.248523235321045,-5.094587802886963,6.273528099060059
1757088576603721700,0.7847216796875,2.205087423324585,-0.1771000027656555,1.4022250175476074,-3.4652199745178223,1.178233027458191,-5.816088199615479,5.1473069190979,-5.334384918212891,6.190767765045166
1757088576613275000,0.79427490234375,2.654712438583374,0.7574874758720398,1.6539875268936155,-3.5793941020965576,1.4269399642944336,-6.194764137268066,5.066119194030762,-5.553125858306885,6.093020915985107
1757088576622827800,0.803827880859375,3.071199893951416,1.4234000444412231,1.7540874481201172,-3.861208915710449,1.1423410177230835,-5.7691168785095215,5.00875186920166,-5.751486778259277,5.977327823638916
1757088576632381000,0.813380859375,3.271674871444702,2.030600070953369,1.6710374355316162,-5.125095844268799,-0.2620080113410949,-3.775271892547608,4.974394798278809,-5.932900905609131,5.843255996704102
1757088576641933800,0.822933837890625,3.304674863815308,1.6787375211715698,1.6307499408721924,-5.852283000946045,-1.4339940547943115,-4.071436882019043,4.96220588684082,-6.097561836242676,5.692389011383057
1757088576651487200,0.8324873046875,3.3082499504089355,0.1149500012397766,1.2849375009536743,-9.130735397338867,-4.468163967132568,-1.8985689878463743,4.956535816192627,-6.25816011428833,5.532144069671631
1757088576661040400,0.842040283203125,2.86852502822876,-1.3400750160217283,0.735212504863739,-8.468306541442871,-14.380773544311523,2.522196054458618,4.955511093139648,-6.412878036499023,5.367194175720215
1757088576670593300,0.85159326171875,2.653475046157837,-2.525187492370605,0.1903000026941299,-6.960422039031982,-27.178401947021484,-1.5864009857177734,4.957999229431152,-6.560026168823242,5.201103210449219
1757088576680146400,0.861146484375,3.035862445831299,-3.018812417984009,-0.3521375060081482,-5.377633094787598,-33.99106979370117,-5.308082103729248,4.9622721672058105,-6.699221134185791,5.034983158111572
1757088576689699600,0.870699462890625,3.300962448120117,-2.967525005340576,-0.4437125027179718,-3.149955034255981,-30.31537437438965,-3.043853044509888,4.985136985778809,-6.808422088623047,4.872941017150879
1757088576699252700,0.880252685546875,2.960099935531616,-3.5220625400543213,-0.1835625022649765,-3.352163076400757,-23.850521087646484,-0.34791100025177,5.008153915405273,-6.908655166625977,4.7160491943359375
1757088576708806000,0.889805908203125,2.191612482070923,-4.322312355041504,0.1512500047683715,-4.543776035308838,-15.339204788208008,1.2134970426559448,5.038631916046143,-6.986420154571533,4.575389862060547
1757088576718359000,0.899359130859375,1.352312445640564,-4.735225200653076,0.2795374989509582,-7.133049964904785,-7.702814102172852,0.6146590113639832,5.055057048797607,-7.058021068572998,4.453959941864014
1757088576727912000,0.908911865234375,0.6583499908447266,-4.435887336730957,-0.0050874999724328,-10.646441459655762,-2.5606980323791504,-0.4938569962978363,5.05500078201294,-7.125296115875244,4.353011131286621
1757088576737465300,0.91846533203125,0.1721500009298324,-3.5844874382019043,-0.3948999941349029,-9.865697860717772,0.4511710107326507,-2.1806960105896,5.017814159393311,-7.20208215713501,4.269352912902832
1757088576747018200,0.928018310546875,-0.0979000031948089,-2.4591875076293945,-0.5097125172615051,-7.021911144256592,1.819828987121582,-4.121306896209717,4.971615791320801,-7.276175022125244,4.197131156921387
1757088576756571400,0.9375712890625,-0.1759999990463256,-1.1384999752044678,-0.3264249861240387,-4.305305004119873,2.723177909851074,-5.570895195007324,4.923912048339844,-7.346951007843018,4.130399227142334
1757088576766124300,0.947124267578125,-0.1344749927520752,0.2480500042438507,0.0119624994695186,-2.965373039245605,3.340085029602051,-6.175404071807861,4.880871772766113,-7.413678169250488,4.064723014831543
1757088576775677400,0.956677490234375,-0.0746624991297721,1.3219250440597534,0.2855874896049499,-3.3945629596710205,3.5587680339813232,-5.906503200531006,4.844596862792969,-7.476390838623047,3.998305082321167
1757088576785230800,0.96623095703125,-0.0428999997675418,1.9523625373840328,0.4078249931335449,-4.093113899230957,3.091392040252685,-5.516485214233398,4.813351154327393,-7.535648822784424,3.9318439960479736
1757088576794783700,0.97578369140625,-0.0269499998539686,2.2419373989105225,0.4005374908447265,-4.706864833831787,1.1520110368728638,-5.451794147491455,4.78361177444458,-7.591798782348633,3.867898941040039
1757088576804337000,0.9853369140625,0.0585750006139278,2.2149875164031982,0.3357749879360199,-4.906182765960693,-0.7268829941749573,-5.333281993865967,4.740891933441162,-7.656377792358398,3.7965729236602783
1757088576813890000,0.99489013671875,0.1538625061511993,1.8533624410629272,0.2428250014781952,-5.1102681159973145,-2.512737989425659,-5.135974884033203,4.693088054656982,-7.717960834503174,3.7346279621124263
1757088576823443200,1.004443115234375,0.2111999988555908,1.219349980354309,0.1427250057458877,-5.1723737716674805,-3.838112115859986,-4.814617156982422,4.637869834899902,-7.77678918838501,3.685435056686402
1757088576832996400,1.013996337890625,0.202674999833107,0.4948624968528747,0.0351999998092651,-5.087747097015381,-4.455667018890381,-4.2879838943481445,4.574741840362549,-7.833528995513916,3.649934053421021
1757088576842549200,1.02354931640625,0.1183874979615211,-0.1073874980211258,-0.0625625029206276,-4.674837112426758,-3.886796951293945,-3.610198974609375,4.506618022918701,-7.887857913970947,3.625736951828003
1757088576852102400,1.033102294921875,0.0768624991178512,-0.4666749835014343,-0.0820875018835067,-3.9378879070281982,-2.5905818939208984,-3.653975963592529,4.437281131744385,-7.939371109008789,3.608443975448608
1757088576861655600,1.042655517578125,0.1013374999165535,-0.5875374674797058,-0.0393249988555908,-3.441256046295166,-1.58808696269989,-3.593696117401123,4.361884117126465,-7.994927883148193,3.585024118423462
1757088576871208700,1.052208740234375,0.1244374960660934,-0.5900124907493591,0.0156750008463859,-3.3576500415802,-0.9576619863510132,-3.245904922485352,4.283390998840332,-8.051643371582031,3.55637788772583
1757088576880761900,1.061761962890625,0.1123374998569488,-0.5655375123023987,0.0657249987125396,-3.467466115951538,-0.6458340287208557,-2.810412883758545,4.201698780059815,-8.108244895935059,3.5250720977783203
1757088576890314800,1.071314697265625,0.0719124972820282,-0.5302000045776367,0.0950125008821487,-3.72194504737854,-0.6946229934692383,-2.524467945098877,4.11603593826294,-8.16562557220459,3.4897639751434326
1757088576899868000,1.080867919921875,0.0426249988377094,-0.481249988079071,0.0987249985337257,-3.980715036392212,-0.9376639723777772,-2.435080051422119,4.025870800018311,-8.225597381591797,3.446291923522949
1757088576909421000,1.090421142578125,0.0365750007331371,-0.4054875075817108,0.0864875018596649,-4.139584064483643,-1.114084005355835,-2.4449539184570312,3.931266069412232,-8.289507865905762,3.3907299041748047
1757088576918974200,1.09997412109375,0.0291499998420476,-0.3102000057697296,0.0706750005483627,-4.125289916992188,-1.162098050117493,-2.436754941940308,3.833144903182984,-8.357403755187988,3.321352005004883
1757088576928527400,1.10952734375,0.015812499448657,-0.2039124965667724,0.0657249987125396,-3.9006409645080566,-1.0481829643249512,-2.4452390670776367,3.754928112030029,-8.41639518737793,3.2384490966796875
1757088576938080500,1.11908056640625,0.0035749999806284,-0.0756250023841857,0.0706750005483627,-3.64283299446106,-0.8369380235671997,-2.423887014389038,3.6733651161193848,-8.478691101074219,3.14388108253479
1757088576947633700,1.128633544921875,-0.0013749999925494,0.0574750006198883,0.0706750005483627,-3.3328800201416016,-0.6478210091590881,-2.3761610984802246,3.586195945739746,-8.544301986694336,3.0398108959198
1757088576957186600,1.1381865234375,-0.0013749999925494,0.147949993610382,0.0669625028967857,-2.9934239387512207,-0.5402969717979431,-2.3022890090942383,3.4903900623321533,-8.613295555114746,2.9289979934692383
1757088576966739700,1.14773974609375,0.0010999999940395,0.1845249980688095,0.0657249987125396,-2.6303110122680664,-0.4732039868831634,-2.204991102218628,3.3838210105896,-8.685603141784668,2.8138349056243896
1757088576976292900,1.15729296875,0.0072874999605119,0.1809500008821487,0.0669625028967857,-2.2856719493865967,-0.4069289863109588,-2.120304107666016,3.2657949924468994,-8.76101016998291,2.695863008499145
1757088576985846000,1.166845947265625,0.0193875003606081,0.1502874940633773,0.073012501001358,-2.0156350135803223,-0.4074639976024627,-1.9823399782180784,3.136620044708252,-8.839143753051758,2.5761420726776123
1757088576995399200,1.176399169921875,0.0280499998480081,0.0954250022768974,0.081675000488758,-1.8343290090560915,-0.4139859974384308,-1.7791370153427124,3.008167028427124,-8.907941818237305,2.4688260555267334
1757088577004952000,1.1859521484375,0.0328624993562698,0.0354750007390975,0.0877249985933303,-1.7640399932861328,-0.432449996471405,-1.5239360332489014,2.870904922485352,-8.978316307067871,2.361011028289795
