time,seconds_elapsed,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,label
1757685564789874000,0.0,0.0013749999925494,0.0074249999597668,0.006874999962747,-0.0039110002107918,-0.3294900059700012,0.0126059995964169,-1.1573100090026855,-9.492283821105955,2.174283027648926,sitting_down
1757685564799427000,0.0095529785156251,0.0013749999925494,0.0001374999992549,0.0142999999225139,0.0194749999791383,-0.3287929892539978,0.0870639979839325,-1.157006025314331,-9.492507934570312,2.1734650135040283,sitting_down
1757685564808980200,0.0191062011718763,0.0001374999992549,-0.0059124999679625,0.0203499998897314,0.0117549998685717,-0.3143959939479828,0.1347000002861023,-1.1560529470443726,-9.49272346496582,2.173027992248535,sitting_down
1757685564818533000,0.0286591796874997,-0.002337499987334,-0.0035749999806284,0.0203499998897314,-0.0184170007705688,-0.3412509858608246,0.1663430035114288,-1.1544450521469116,-9.492886543273926,2.173157930374145,sitting_down
1757685564828086300,0.0382121582031249,-0.0035749999806284,0.0001374999992549,0.0215875003486871,-0.0198100004345178,-0.3155820071697235,0.1686390042304992,-1.1522990465164185,-9.492996215820312,2.1738109588623047,sitting_down
1757685564837639200,0.0477651367187501,-0.0048124999739229,0.0013749999925494,0.0191124994307756,-0.0638089999556541,-0.306535005569458,0.1275559961795807,-1.1500519514083862,-9.49307346343994,2.1746630668640137,sitting_down
1757685564847192300,0.0573183593750012,-0.0048124999739229,0.0013749999925494,0.0155375003814697,-0.1118950024247169,-0.3235140144824981,0.0798500031232833,-1.148185968399048,-9.49315071105957,2.175312042236328,sitting_down
1757685564856745200,0.0668710937500005,-0.0048124999739229,0.0061874999664723,0.0130624994635581,-0.1255059987306594,-0.3235380053520202,0.0550419986248016,-1.1468969583511353,-9.49323272705078,2.1756339073181152,sitting_down
1757685564866298400,0.0764243164062499,-0.0035749999806284,0.0061874999664723,0.0142999999225139,-0.099771000444889,-0.2988570034503937,0.0041229999624192,-1.1460130214691162,-9.49335479736328,2.175565004348755,sitting_down
1757685564875851500,0.085977539062501,-0.002337499987334,-0.0010999999940395,0.0155375003814697,-0.0709140002727508,-0.3027180135250091,0.0082459999248385,-1.1452430486679075,-9.493521690368652,2.1752429008483887,sitting_down
1757685564885404700,0.0955307617187504,0.0013749999925494,-0.0083875004202127,0.017875000834465,-0.0121210003271698,-0.3111839890480041,0.0352470017969608,-1.1441789865493774,-9.493746757507324,2.1748180389404297,sitting_down
1757685564894957600,0.1050834960937514,0.0013749999925494,-0.0108624994754791,0.0215875003486871,-0.0043739997781813,-0.3034360110759735,0.0834079980850219,-1.1426429748535156,-9.494016647338867,2.17444396018982,sitting_down
1757685564904510700,0.1146367187500008,0.0026124999858438,-0.0059124999679625,0.0191124994307756,-0.0512080006301403,-0.2939290106296539,0.1063529998064041,-1.1407179832458496,-9.494301795959473,2.1742069721221924,sitting_down
1757685564914064000,0.1241899414062501,0.0038499999791383,0.0050874999724328,0.011824999935925,-0.1288660019636154,-0.2778199911117553,0.1030479967594146,-1.1388360261917114,-9.494569778442385,2.174032926559448,sitting_down
1757685564923616800,0.1337426757812512,0.0038499999791383,0.0184249989688396,0.0057749999687075,-0.1542789936065673,-0.2478549927473068,0.1153160035610199,-1.1372480392456057,-9.494802474975586,2.1738619804382324,sitting_down
1757685564933170000,0.1432958984375005,0.0013749999925494,0.0184249989688396,0.0057749999687075,-0.1285499930381775,-0.2467979937791824,0.1379950046539306,-1.1360570192337036,-9.494983673095703,2.173696994781494,sitting_down
1757685564942723000,0.1528491210937499,-0.0010999999940395,0.0050874999724328,0.0081124994903802,-0.0952970013022422,-0.2672919929027557,0.1596049964427948,-1.1352440118789673,-9.495087623596191,2.17366909980774,sitting_down
1757685564952276200,0.1624020996093769,-0.0059124999679625,-0.0071499999612569,0.0105875004082918,-0.0572820007801055,-0.3042080104351043,0.157490998506546,-1.134667992591858,-9.495101928710938,2.173912048339844,sitting_down
1757685564961829000,0.1719550781250003,-0.0071499999612569,-0.0133375003933906,0.011824999935925,-0.0304649993777275,-0.3237870037555694,0.1307030022144317,-1.1340899467468262,-9.495038986206056,2.1744918823242188,sitting_down
1757685564971382000,0.1815080566406237,-0.0071499999612569,-0.0120999999344348,0.009349999949336,-0.0183230005204677,-0.3090969920158386,0.0711070001125335,-1.1334409713745115,-9.494932174682615,2.175298929214477,sitting_down
1757685564980935200,0.1910610351562507,-0.0048124999739229,0.0013749999925494,0.009349999949336,-0.0161719992756843,-0.3177340030670166,0.0307160001248121,-1.1328279972076416,-9.494800567626951,2.176188945770264,sitting_down
1757685564990488300,0.2006142578125,-0.002337499987334,0.017187500372529,0.006874999962747,-0.0323660001158714,-0.3261150121688843,0.0062389997765421,-1.1323909759521484,-9.494694709777832,2.176877975463867,sitting_down
1757685565000041500,0.2101674804687512,0.0013749999925494,0.0221375003457069,0.006874999962747,-0.0385410003364086,-0.2963379919528961,0.0124730002135038,-1.1321510076522827,-9.494641304016112,2.177243947982788,sitting_down
1757685565009594400,0.2197204589843764,0.0026124999858438,0.0196624994277954,0.0057749999687075,-0.0511579997837543,-0.3148159980773926,0.0414169989526271,-1.1320699453353882,-9.494646072387695,2.177264928817749,sitting_down
1757685565019147300,0.2292731933593774,0.0026124999858438,0.0123749999329447,0.0081124994903802,-0.0338100008666515,-0.3146939873695373,0.0960889980196952,-1.1320879459381104,-9.49468994140625,2.177061080932617,sitting_down
1757685565028700400,0.238826416015625,0.0001374999992549,0.0001374999992549,0.0130624994635581,0.0004729999927803,-0.3123809993267059,0.1295599937438964,-1.1319500207901,-9.494756698608398,2.176841974258423,sitting_down
