time,seconds_elapsed,z,y,x
1757088626333295000,0.017295166015625,-9.621254269638657,-1.5792835995174943,-1.0524775473490358
1757088626343250200,0.027250244140625,-9.600573885181547,-1.654748005824536,-1.1230188911054282
1757088626353204200,0.037204345703125,-9.573601122581959,-1.7566640734665095,-1.1961098462793975
1757088626363159300,0.0471591796875,-9.540465745699406,-1.8830014656595884,-1.2665702337540685
1757088626373114000,0.057114013671875,-9.50231809361279,-2.0289377306833862,-1.3265544545955956
1757088626383068400,0.067068359375,-9.460551666507124,-2.1876345469504592,-1.3720793574519454
1757088626393023200,0.077023193359375,-9.416125080281496,-2.3504490276694296,-1.4079630101293326
1757088626402977300,0.086977294921875,-9.369440485996007,-2.5104370527908206,-1.4428013915374873
1757088626412932000,0.09693212890625,-9.322124608069657,-2.6625056830897926,-1.476294203555584
1757088626422886100,0.10688623046875,-9.275783712655306,-2.8023063679680225,-1.5090731682159007
1757088626432841200,0.11684130859375,-9.230047797396779,-2.9303482259914277,-1.5458520161673426
1757088626442795300,0.126795166015625,-9.184395468768477,-3.050053925085068,-1.5856956585168838
1757088626452750000,0.13675,-9.13731632220745,-3.167112032279372,-1.6276494248881934
1757088626462704000,0.1467041015625,-9.086746995443105,-3.286111044408381,-1.6741823357433079
1757088626472659200,0.1566591796875,-9.031798430681228,-3.4082585836961865,-1.7264926609560847
1757088626482614300,0.1666142578125,-8.9735882337749,-3.531454462993145,-1.7815524310074746
1757088626492568300,0.176568359375,-8.914378504437208,-3.6515611441031095,-1.835850569036603
1757088626502523100,0.186523193359375,-8.854630430439114,-3.7634433099642393,-1.8979992744356393
1757088626512477200,0.196477294921875,-8.798959981143474,-3.8599849910914896,-1.9619380781218407
1757088626522432000,0.206431884765625,-8.762277140912413,-3.9348438327208157,-1.9773434447854756
1757088626532386300,0.21638623046875,-8.734834422713517,-3.9941318879917262,-1.9798888914845882
1757088626542341000,0.226341064453125,-8.713903862887621,-4.037239792834222,-1.9846813864581285
1757088626552295200,0.236295166015625,-8.70144711689651,-4.064335305030644,-1.9840311058558522
1757088626562250200,0.246250244140625,-8.698691096186637,-4.077151239722967,-1.9697695023998616
1757088626572204000,0.2562041015625,-8.702605639281868,-4.079127800492942,-1.9482685953401029
1757088626582159400,0.266159423828125,-8.71215263530612,-4.071892004020512,-1.92054121498093
1757088626592113200,0.276113037109375,-8.727528483614325,-4.056363595499098,-1.883227967891842
1757088626602068200,0.286068115234375,-8.747354297068714,-4.03423271997273,-1.838245062957704
1757088626612023000,0.29602294921875,-8.7692943261981,-4.007231023539602,-1.7921939442701638
